Class,Previous qualification (grade),Gender,Curricular units 1st sem (grade),Curricular units 2nd sem (grade),Region,School Type,Age,Caste,Target
5,140,0,0,0,Sadra,Government,11,ST,Dropout
5,150,0,12.33333333,12.72727273,Jetapur,Government,11,OBC,Dropout
5,140,1,0,0,Jetapur,Government,11,GEN,Dropout
5,116,1,0,0,Jetapur,Government,11,GEN,Dropout
5,110,1,0,0,Bamroli,Government,11,GEN,Dropout
5,145,0,0,0,Jetapur,Government,11,GEN,Dropout
5,130,0,0,0,Jetapur,Government,11,OBC,Dropout
5,120,0,10,0,Kolat,Government,11,ST,Dropout
5,133.1,0,10,0,Sadra,Government,11,GEN,Dropout
5,100,0,0,0,Sadra,Private,11,SC,Dropout
5,133.1,0,11.44444444,10.8,Jetapur,Private,11,GEN,Dropout
5,120,0,0,0,Solgam,Private,11,OBC,Dropout
5,140,0,0,0,Bamroli,Government,11,SC,Dropout
5,133.1,0,10,11,Dadhana,Private,11,GEN,Dropout
5,133.1,0,0,0,Abasna,Government,11,GEN,Dropout
5,120,0,13.44444444,14.71428571,Kolat,Government,11,ST,Dropout
5,133.1,1,0,0,Karsanpura,Government,11,GEN,Dropout
5,140,1,11,0,Ratanpura,Government,11,OBC,Dropout
5,140,0,0,0,Abasna,Government,11,ST,Dropout
5,133.1,0,0,0,Sadra,Government,11,OBC,Dropout
5,133.1,0,11.4,11,Melaj,Government,11,GEN,Dropout
5,130,0,14,14.625,Sadra,Private,11,OBC,Dropout
5,130,0,11,0,Dadhana,Private,11,GEN,Dropout
5,133.1,1,10,0,Abasna,Private,11,SC,Dropout
5,133.1,0,0,0,Melaj,Government,11,OBC,Dropout
5,131,1,0,0,Sadra,Private,11,GEN,Dropout
5,100,0,10,0,Ratanpura,Government,11,GEN,Dropout
5,133.1,0,12.25,12,Sadra,Private,11,GEN,Dropout
5,133.1,0,0,0,Kolat,Private,11,SC,Dropout
5,120,0,11.4,11.8,Karsanpura,Government,11,GEN,Dropout
5,133.1,1,0,0,Sadra,Government,11,SC,Dropout
5,123,0,10.66666667,0,Jetapur,Government,11,GEN,Dropout
5,134,0,10,0,Jetapur,Private,11,OBC,Dropout
5,140,0,0,0,Solgam,Government,11,GEN,Dropout
5,133.1,0,12,10.5,Sadra,Government,11,GEN,Dropout
5,140,1,12.5,0,Melaj,Government,11,SC,Dropout
5,140,1,0,0,Jetapur,Government,11,ST,Dropout
5,120,1,12.14285714,0,Dadhana,Private,11,SC,Dropout
5,110,1,0,0,Kolat,Government,11,OBC,Dropout
5,100,1,11.5,11,Melaj,Government,11,GEN,Dropout
5,133.1,0,11.25,0,Ratanpura,Private,11,GEN,Dropout
5,133.1,1,0,0,Karsanpura,Government,11,SC,Dropout
5,120,1,10.5,10.42857143,Melaj,Government,11,OBC,Dropout
5,133.1,1,11.33333333,13.5,Abasna,Government,11,OBC,Dropout
5,133.1,1,12.25,0,Abasna,Private,11,GEN,Dropout
5,113,0,0,0,Sadra,Government,11,GEN,Dropout
5,133.1,1,0,0,Jetapur,Government,11,OBC,Dropout
5,115,0,0,0,Bamroli,Government,11,GEN,Dropout
5,133.1,0,0,0,Bamroli,Government,11,OBC,Dropout
5,133.1,0,12.5,11.66666667,Melaj,Government,11,GEN,Dropout
5,130,0,12.44444444,12,Jetapur,Private,11,ST,Dropout
5,170,0,0,0,Dadhana,Private,11,OBC,Dropout
5,133.1,0,12,12,Melaj,Government,11,SC,Dropout
5,133.1,0,0,0,Jetapur,Private,11,GEN,Dropout
5,100,0,0,0,Abasna,Private,11,GEN,Dropout
5,138,0,0,0,Dadhana,Government,11,SC,Dropout
5,126,0,0,0,Abasna,Private,11,SC,Dropout
5,133.1,1,0,0,Sadra,Private,11,SC,Dropout
5,127,0,12,0,Jetapur,Private,11,GEN,Dropout
5,133.1,0,10.25,12,Sadra,Government,11,ST,Dropout
5,100,0,0,0,Abasna,Private,11,ST,Dropout
5,130,0,13.33333333,12.875,Jetapur,Government,11,GEN,Dropout
5,117,0,12.5,14.33333333,Bamroli,Government,11,GEN,Dropout
5,133.1,0,0,0,Jetapur,Government,11,GEN,Dropout
5,134,0,11,0,Solgam,Private,11,OBC,Dropout
5,119,0,11.57142857,11,Jetapur,Government,11,OBC,Dropout
5,120,0,13,13.75,Sadra,Private,11,GEN,Dropout
5,120,0,12.75,12.6,Jetapur,Private,11,GEN,Dropout
5,133.1,0,12,12,Jetapur,Government,11,GEN,Dropout
5,133.1,0,0,0,Melaj,Private,11,OBC,Dropout
5,133.1,1,0,0,Jetapur,Private,11,SC,Dropout
5,120,0,0,0,Abasna,Government,11,GEN,Dropout
5,133.1,0,12,13,Sadra,Government,11,OBC,Dropout
5,133,0,11.5,11.5,Sadra,Private,11,OBC,Dropout
5,120,0,13.84615385,12.55555556,Bamroli,Private,11,ST,Dropout
5,110,0,12,13.2,Abasna,Private,11,OBC,Dropout
5,133.1,0,10.5,12.33333333,Ratanpura,Government,11,OBC,Dropout
5,160,1,12.16666667,13.3,Ratanpura,Government,11,OBC,Dropout
5,130,0,12.75,11.33333333,Sadra,Private,11,GEN,Dropout
5,130,0,0,0,Sadra,Government,11,OBC,Dropout
5,150,1,12.42857143,10.85714286,Sadra,Government,11,OBC,Dropout
5,133.1,1,0,0,Sadra,Private,11,SC,Dropout
5,130,0,0,0,Sadra,Private,11,OBC,Dropout
5,149,1,0,0,Dadhana,Private,11,GEN,Dropout
5,130,1,11.33333333,11,Melaj,Government,11,OBC,Dropout
5,133.1,1,0,0,Karsanpura,Private,11,OBC,Dropout
5,110,1,11,0,Ratanpura,Private,11,GEN,Dropout
5,133.1,1,13,11.42857143,Sadra,Government,11,GEN,Dropout
5,133.1,1,0,0,Sadra,Private,11,GEN,Dropout
5,120,0,12.25,10.5,Ratanpura,Private,11,SC,Dropout
5,120,1,11.75,10,Sadra,Private,11,SC,Dropout
5,168,1,0,0,Solgam,Government,11,GEN,Dropout
5,170,1,0,0,Bamroli,Government,11,GEN,Dropout
5,140,1,11.5,13.66666667,Ratanpura,Government,11,SC,Dropout
5,133.1,1,14.5,0,Abasna,Government,11,SC,Dropout
5,133.1,1,0,0,Melaj,Government,11,OBC,Dropout
5,133.1,0,13,11.75,Kolat,Government,11,ST,Dropout
5,120,1,11,0,Sadra,Government,11,OBC,Dropout
5,133.1,1,11.5,0,Kolat,Private,11,SC,Dropout
5,130,1,0,0,Karsanpura,Government,11,GEN,Dropout
5,110,1,0,0,Sadra,Government,11,SC,Dropout
5,140,0,14.33333333,14,Jetapur,Government,11,GEN,Dropout
5,133.1,0,12.8,13.33333333,Jetapur,Private,11,OBC,Dropout
5,126,1,13.66666667,12.25,Sadra,Government,11,ST,Dropout
5,140,1,12,10.33333333,Melaj,Government,11,SC,Dropout
5,160,1,11.83333333,11,Sadra,Government,11,GEN,Dropout
5,133.1,0,0,0,Melaj,Government,11,GEN,Dropout
5,160,1,0,0,Solgam,Government,11,OBC,Dropout
5,130,1,16.16666667,16,Solgam,Government,11,ST,Dropout
5,119,1,0,0,Solgam,Private,11,SC,Dropout
5,130,1,15.09090909,15,Melaj,Government,11,SC,Dropout
5,140,1,13.5,13,Bamroli,Government,11,OBC,Dropout
5,133.1,1,0,0,Sadra,Private,11,SC,Dropout
5,111,1,0,0,Sadra,Private,11,ST,Dropout
5,150,1,11.8,11.875,Melaj,Government,11,SC,Dropout
5,130,1,11.42857143,12,Bamroli,Government,11,GEN,Dropout
5,130,1,12.5,11.6,Karsanpura,Private,11,GEN,Dropout
5,140,1,0,0,Abasna,Private,11,ST,Dropout
5,133.1,1,0,0,Ratanpura,Government,12,GEN,Dropout
5,133.1,1,11.66666667,10.85714286,Bamroli,Private,12,GEN,Dropout
5,130,1,12.72727273,12.7,Dadhana,Government,12,ST,Dropout
5,100,1,12,0,Melaj,Private,12,OBC,Dropout
5,133.1,1,0,0,Abasna,Government,12,GEN,Dropout
5,133.1,1,11.5,12,Melaj,Government,12,ST,Dropout
5,133.1,0,0,0,Melaj,Private,12,SC,Dropout
5,133.1,0,0,0,Sadra,Private,12,GEN,Dropout
5,130,1,11.8,12,Sadra,Government,12,SC,Dropout
5,140,1,15.2,11,Ratanpura,Government,12,OBC,Dropout
5,130,1,0,0,Dadhana,Private,12,GEN,Dropout
5,120,1,10,0,Kolat,Private,12,GEN,Dropout
5,140,1,11.25,11.2,Bamroli,Government,12,ST,Dropout
5,130,1,0,0,Ratanpura,Government,12,GEN,Dropout
5,140,0,11.6,12.25,Sadra,Government,12,GEN,Dropout
5,133.1,0,0,0,Ratanpura,Government,12,OBC,Dropout
5,130,1,0,0,Ratanpura,Government,12,ST,Dropout
5,150,1,0,0,Solgam,Government,12,GEN,Dropout
5,133.1,0,12,0,Karsanpura,Private,12,ST,Dropout
5,130,1,13,0,Bamroli,Government,12,OBC,Dropout
5,140,1,12.5,0,Ratanpura,Government,12,GEN,Dropout
5,140,1,12,10.5,Solgam,Government,12,GEN,Dropout
5,133.1,1,11.5,0,Kolat,Government,12,GEN,Dropout
5,120,1,0,0,Bamroli,Private,12,GEN,Dropout
5,130,1,0,0,Jetapur,Government,12,SC,Dropout
5,111,1,11.6,11.2,Kolat,Government,12,SC,Dropout
5,130,1,0,0,Abasna,Government,12,OBC,Dropout
5,140,1,13.25,12,Dadhana,Private,12,GEN,Dropout
5,120,1,15.71428571,15.9,Bamroli,Private,12,OBC,Dropout
5,133.1,1,0,0,Ratanpura,Private,12,ST,Dropout
5,130,1,11.4,11.66666667,Karsanpura,Government,12,ST,Dropout
5,160,1,0,0,Bamroli,Private,12,SC,Dropout
5,120,1,12,11.8,Melaj,Government,12,SC,Dropout
5,133.1,1,11.75,0,Dadhana,Private,12,OBC,Dropout
5,130,1,11.88888889,11.6,Karsanpura,Government,12,GEN,Dropout
5,120,1,0,11,Solgam,Private,12,GEN,Dropout
5,120,1,10.64285714,10.66666667,Karsanpura,Government,12,GEN,Dropout
5,133.1,1,11,11.75,Karsanpura,Private,12,OBC,Dropout
5,180,0,0,0,Karsanpura,Private,12,GEN,Dropout
5,140,0,10.66666667,12,Bamroli,Government,12,GEN,Dropout
5,135,0,0,0,Ratanpura,Government,12,SC,Dropout
5,133.1,1,14.4,0,Ratanpura,Government,12,GEN,Dropout
5,123,0,0,0,Solgam,Government,12,SC,Dropout
5,130,1,11.33333333,13,Solgam,Government,12,ST,Dropout
5,130,1,0,0,Sadra,Government,12,GEN,Dropout
5,122,1,0,0,Bamroli,Government,12,SC,Dropout
5,131,0,12.16666667,0,Jetapur,Government,12,OBC,Dropout
5,130,0,12,11.33333333,Kolat,Private,12,GEN,Dropout
5,120,1,0,0,Solgam,Government,12,GEN,Dropout
5,115,1,11.77777778,13.66666667,Karsanpura,Government,12,GEN,Dropout
5,122,0,13,11.6,Bamroli,Government,12,GEN,Dropout
5,116,0,13.33333333,12.66666667,Abasna,Government,12,ST,Dropout
5,124,1,0,0,Solgam,Private,12,GEN,Dropout
5,120,1,12,12.14285714,Karsanpura,Government,12,GEN,Dropout
5,119,1,11.5,11,Abasna,Government,12,GEN,Dropout
5,120,1,12.2,12.14285714,Solgam,Government,12,GEN,Dropout
5,134,1,10.8,0,Karsanpura,Government,12,GEN,Dropout
5,146,0,12.5,13,Karsanpura,Government,12,ST,Dropout
5,132,0,0,0,Bamroli,Private,12,GEN,Dropout
5,136,0,13,0,Ratanpura,Government,12,GEN,Dropout
5,133.1,0,0,0,Ratanpura,Government,12,ST,Dropout
5,160,0,0,0,Bamroli,Private,12,OBC,Dropout
5,140,0,10,0,Dadhana,Government,12,ST,Dropout
5,122,0,11.83333333,11,Ratanpura,Government,12,GEN,Dropout
5,139.3,1,0,0,Solgam,Government,12,GEN,Dropout
5,117,1,14,0,Melaj,Government,12,GEN,Dropout
5,100,0,11.6,10,Kolat,Government,12,SC,Dropout
5,142,1,0,0,Solgam,Private,12,OBC,Dropout
5,133.1,1,0,0,Jetapur,Private,12,ST,Dropout
5,108,1,11.53846154,12.4,Kolat,Government,12,OBC,Dropout
5,116,1,11.25,0,Solgam,Government,12,ST,Dropout
5,117,1,0,0,Kolat,Government,12,SC,Dropout
5,143,0,13,11.4,Sadra,Government,12,SC,Dropout
5,120,1,12,12.66666667,Dadhana,Government,12,ST,Dropout
5,148,1,0,0,Bamroli,Government,12,GEN,Dropout
5,110,1,0,0,Melaj,Government,12,OBC,Dropout
5,127,1,10.25,11.25,Sadra,Government,12,GEN,Dropout
5,125,1,12.75,12.66666667,Dadhana,Government,12,OBC,Dropout
5,143,0,14.5,12.83333333,Kolat,Government,12,GEN,Dropout
5,108,0,0,0,Melaj,Private,12,OBC,Dropout
5,133.1,0,11.4,12.2,Solgam,Government,12,GEN,Dropout
5,123.9,1,12.6,12.75,Melaj,Private,12,SC,Dropout
5,134,0,12,11,Karsanpura,Government,12,SC,Dropout
5,124,0,13.28571429,12.5,Abasna,Government,12,GEN,Dropout
5,120,1,12.375,11.25,Bamroli,Government,12,GEN,Dropout
5,134,0,11.71428571,11.33333333,Sadra,Private,12,GEN,Dropout
5,140,1,13.5,0,Bamroli,Government,12,ST,Dropout
5,100,1,11.8,11,Ratanpura,Government,12,GEN,Dropout
5,170,1,14.625,13.4,Bamroli,Government,12,GEN,Dropout
5,128,1,12.66666667,11.8,Sadra,Private,12,ST,Dropout
5,140,1,10,0,Abasna,Government,12,OBC,Dropout
5,122,1,13.2,13.5,Ratanpura,Private,12,GEN,Dropout
5,130,0,13.17647059,13,Ratanpura,Government,12,ST,Dropout
5,128,1,12.5,0,Karsanpura,Private,12,ST,Dropout
5,134,0,11,0,Bamroli,Private,12,GEN,Dropout
5,133.1,0,16,16,Kolat,Government,12,SC,Dropout
5,130,0,12.875,13.4,Bamroli,Private,12,OBC,Dropout
5,113,0,14.2,13.25,Bamroli,Government,12,SC,Dropout
5,133.1,0,11,0,Ratanpura,Private,12,OBC,Dropout
5,121,0,0,13.5,Solgam,Government,12,ST,Dropout
5,133.1,0,11.75,10.33333333,Dadhana,Private,12,OBC,Dropout
5,150,0,0,0,Ratanpura,Government,12,OBC,Dropout
5,160,0,0,0,Solgam,Private,12,GEN,Dropout
5,133.1,0,0,0,Karsanpura,Private,12,GEN,Dropout
5,120,0,10.5,12.33333333,Karsanpura,Private,12,SC,Dropout
5,133.1,0,0,0,Dadhana,Government,12,GEN,Dropout
5,140,0,0,0,Sadra,Government,12,SC,Dropout
5,135,0,0,0,Dadhana,Private,12,ST,Dropout
5,130,0,12,0,Karsanpura,Government,12,SC,Dropout
5,133.1,1,0,0,Karsanpura,Government,12,ST,Dropout
5,127,0,0,0,Bamroli,Government,12,GEN,Dropout
5,170,0,14.4,14,Solgam,Government,12,SC,Dropout
5,120,1,12.33333333,11,Abasna,Government,12,GEN,Dropout
5,140,0,12,12,Sadra,Government,12,OBC,Dropout
5,143,0,14.4,14,Ratanpura,Government,12,OBC,Dropout
5,160,1,14,13.5,Kolat,Private,12,GEN,Dropout
5,140,0,14,0,Solgam,Government,12,GEN,Dropout
5,130,0,0,0,Kolat,Private,12,SC,Dropout
5,133.1,1,12.5,13.5,Abasna,Private,12,GEN,Dropout
5,128,0,11.5,10.5,Bamroli,Government,12,GEN,Dropout
5,122,0,14.25,13.2,Abasna,Government,12,ST,Dropout
5,140,0,13.75,13.2,Solgam,Government,12,ST,Dropout
5,130,0,0,0,Karsanpura,Government,12,GEN,Dropout
5,123,1,13.2,0,Karsanpura,Government,12,SC,Dropout
5,150,1,12.16666667,14.8,Ratanpura,Government,12,GEN,Dropout
5,130,1,12.8,0,Ratanpura,Government,12,SC,Dropout
5,131,0,13,12,Bamroli,Government,12,SC,Dropout
5,133.1,0,12.66666667,11,Bamroli,Private,12,GEN,Dropout
5,130,1,0,0,Bamroli,Private,12,GEN,Dropout
5,130,1,12.5,10,Abasna,Government,12,GEN,Dropout
5,137,1,0,0,Abasna,Private,12,GEN,Dropout
5,126,0,15,11.66666667,Dadhana,Government,12,OBC,Dropout
5,140,1,11.5,10.5,Kolat,Government,12,GEN,Dropout
5,150,0,13,12,Dadhana,Government,12,ST,Dropout
5,140,0,13,12,Ratanpura,Government,12,GEN,Dropout
5,109,0,13,0,Karsanpura,Private,12,GEN,Dropout
5,150,0,13,0,Solgam,Government,12,GEN,Dropout
5,140,1,13.5,14.4,Melaj,Government,12,GEN,Dropout
5,125,1,0,0,Melaj,Government,12,GEN,Dropout
5,140,1,0,0,Bamroli,Government,12,GEN,Dropout
5,110,1,0,0,Melaj,Private,12,GEN,Dropout
5,120,0,11.5,11,Abasna,Government,12,GEN,Dropout
5,121,0,0,0,Sadra,Government,12,SC,Dropout
5,110,0,16.42857143,16.66666667,Bamroli,Government,12,GEN,Dropout
5,110,1,0,0,Abasna,Government,12,OBC,Dropout
5,121,0,0,0,Melaj,Government,12,GEN,Dropout
5,133.1,0,0,0,Karsanpura,Government,12,OBC,Dropout
5,150,0,0,0,Dadhana,Government,12,OBC,Dropout
5,140,0,10.5,12,Kolat,Government,12,GEN,Dropout
5,135,0,14.6,12.75,Dadhana,Government,12,SC,Dropout
5,132,0,12.28571429,14,Melaj,Private,12,OBC,Dropout
5,137,0,12.6,13,Solgam,Government,12,GEN,Dropout
5,133.1,1,0,0,Karsanpura,Government,12,SC,Dropout
5,160,1,12.5,13.5,Sadra,Government,12,SC,Dropout
5,120,0,15.33333333,15.4,Solgam,Private,12,SC,Dropout
5,120,0,0,0,Abasna,Government,12,OBC,Dropout
5,156,0,16,14.625,Bamroli,Government,12,ST,Dropout
5,133.1,1,12,11.33333333,Ratanpura,Government,12,SC,Dropout
5,110,1,12,11.66666667,Ratanpura,Government,12,GEN,Dropout
5,130,0,0,0,Ratanpura,Private,12,GEN,Dropout
5,130,0,0,0,Solgam,Government,12,GEN,Dropout
5,150,0,15.71428571,14.66666667,Karsanpura,Private,12,ST,Dropout
5,120,0,11.5,11.66666667,Dadhana,Government,12,ST,Dropout
5,133.1,1,0,0,Karsanpura,Government,12,SC,Dropout
5,126,1,0,0,Karsanpura,Private,12,GEN,Dropout
5,140,1,12.5,12,Ratanpura,Government,12,GEN,Dropout
5,133.1,0,12.25,11,Solgam,Private,12,ST,Dropout
5,123,1,0,0,Melaj,Private,12,ST,Dropout
5,133.1,0,12,0,Bamroli,Private,12,OBC,Dropout
5,133.1,0,0,0,Dadhana,Private,12,GEN,Dropout
5,150,0,12.5,12.5,Karsanpura,Government,12,GEN,Dropout
5,133.1,0,0,0,Bamroli,Private,12,OBC,Dropout
5,148,1,15.5,15.5,Bamroli,Government,12,SC,Dropout
5,133.1,1,0,0,Ratanpura,Private,12,ST,Dropout
5,110,1,11.33333333,11.5,Ratanpura,Private,12,OBC,Dropout
5,133.1,1,13.5,11.66666667,Jetapur,Government,12,ST,Dropout
5,110,0,12,10.5,Kolat,Government,12,GEN,Dropout
5,153,0,13.5,15.33333333,Bamroli,Private,12,SC,Dropout
5,133.1,0,0,0,Karsanpura,Government,12,GEN,Dropout
5,150,1,0,0,Karsanpura,Private,12,OBC,Dropout
5,133.1,0,12,12,Solgam,Private,12,GEN,Dropout
5,117,0,0,0,Sadra,Government,12,SC,Dropout
5,133.1,0,12,0,Sadra,Government,12,GEN,Dropout
5,123,1,11.33333333,11.5,Dadhana,Private,12,ST,Dropout
5,133.1,0,12.66666667,0,Karsanpura,Government,12,SC,Dropout
5,150,1,14.66666667,0,Karsanpura,Private,12,GEN,Dropout
5,133.1,1,0,0,Ratanpura,Government,12,GEN,Dropout
5,150,0,0,0,Solgam,Government,12,SC,Dropout
5,130,0,11.75,12.16666667,Solgam,Government,12,ST,Dropout
5,151,0,0,0,Sadra,Government,12,OBC,Dropout
5,133.1,1,12,11,Ratanpura,Private,12,ST,Dropout
5,150,1,14,0,Solgam,Government,12,SC,Dropout
5,126,1,12,12,Kolat,Private,12,ST,Dropout
5,117,1,11,0,Jetapur,Government,12,OBC,Dropout
5,129,1,11.66666667,11.33333333,Kolat,Private,12,GEN,Dropout
5,111,1,10.5,10.8,Kolat,Private,12,SC,Dropout
5,140,1,17.33333333,17,Solgam,Government,12,GEN,Dropout
5,100,1,0,0,Solgam,Government,12,GEN,Dropout
5,110,1,0,0,Abasna,Government,12,ST,Dropout
5,138,1,13.33333333,10.75,Solgam,Private,12,GEN,Dropout
5,115,1,0,0,Karsanpura,Government,12,GEN,Dropout
5,136,1,12.6,13.25,Karsanpura,Government,12,SC,Dropout
5,130,1,0,0,Bamroli,Government,12,OBC,Dropout
5,133.1,1,0,0,Ratanpura,Government,12,SC,Dropout
5,120,1,18,13,Jetapur,Private,12,SC,Dropout
5,120,1,11.25,12,Karsanpura,Government,12,SC,Dropout
5,133.1,1,0,0,Karsanpura,Government,12,ST,Dropout
5,120,1,11.25,10.5,Bamroli,Government,12,SC,Dropout
5,144,1,10,12,Bamroli,Private,12,GEN,Dropout
5,146,1,16,0,Ratanpura,Government,12,ST,Dropout
5,130,1,0,14,Ratanpura,Private,12,ST,Dropout
5,120,1,0,0,Solgam,Private,12,GEN,Dropout
5,120,1,13,0,Abasna,Government,12,GEN,Dropout
5,136,1,13.45454545,13.875,Abasna,Private,12,GEN,Dropout
5,129,1,0,0,Ratanpura,Government,12,SC,Dropout
5,133.1,1,0,0,Melaj,Government,12,GEN,Dropout
5,138,1,12.25,12.33333333,Melaj,Government,12,GEN,Dropout
5,140,1,13,10,Bamroli,Government,12,GEN,Dropout
5,120,1,11,0,Melaj,Private,12,GEN,Dropout
5,120,0,0,0,Sadra,Government,12,GEN,Dropout
5,130,1,0,0,Solgam,Government,12,OBC,Dropout
5,120,1,0,0,Abasna,Government,12,GEN,Dropout
5,140.8,1,0,0,Abasna,Government,12,SC,Dropout
5,130,1,0,0,Jetapur,Private,12,GEN,Dropout
5,160,1,0,14.5,Sadra,Government,12,SC,Dropout
5,120,1,10.66666667,12.5,Abasna,Government,12,GEN,Dropout
5,123,1,0,0,Bamroli,Government,12,GEN,Dropout
5,148,1,13.28571429,14.8,Abasna,Government,12,GEN,Dropout
5,110,1,0,0,Abasna,Private,12,GEN,Dropout
5,130,1,0,0,Jetapur,Government,12,OBC,Dropout
5,133.1,1,0,0,Solgam,Government,12,GEN,Dropout
5,120,1,15,13.5,Melaj,Government,12,GEN,Dropout
5,133.1,1,13.33333333,16,Dadhana,Government,12,GEN,Dropout
5,110,1,10,0,Karsanpura,Government,12,OBC,Dropout
5,126,1,14.5,13.33333333,Kolat,Government,12,GEN,Dropout
5,130,1,13.16666667,15.14285714,Dadhana,Government,12,SC,Dropout
5,130,1,0,0,Solgam,Government,12,GEN,Dropout
5,120,1,0,0,Melaj,Private,12,GEN,Dropout
5,120,1,11.28571429,13,Abasna,Private,12,SC,Dropout
5,111,1,12.33333333,12.5,Abasna,Private,12,OBC,Dropout
